Year,State,Income
2013,AK,79666
2013,AL,52017
2013,AR,43285
2013,AZ,57834
2013,CA,66829
2013,CO,74654
2013,CT,76170
2013,DE,59461
2013,FL,53350
2013,GA,51657
2013,HI,70612
2013,IA,66128
2013,ID,53278
2013,IL,59291
2013,IN,54364
2013,KS,52567
2013,KY,49334
2013,LA,51034
2013,MA,68736
2013,MD,76238
2013,ME,60413
2013,MI,62182
2013,MN,70709
2013,MO,50900
2013,MS,35548
2013,MT,47490
2013,NC,50937
2013,ND,65024
2013,NE,63343
2013,NH,75958
2013,NJ,70083
2013,NM,44153
2013,NV,56993
2013,NY,54926
2013,OH,55786
2013,OK,50745
2013,OR,53863
2013,PA,60631
2013,RI,61914
2013,SC,47888
2013,SD,58715
2013,TN,47665
2013,TX,56509
2013,UT,67107
2013,VA,72450
2013,VT,72016
2013,WA,70268
2013,WI,56861
2013,WV,47344
2013,WY,74136
2014,AK,73105
2014,AL,45701
2014,AR,48559
2014,AZ,53242
2014,CA,65384
2014,CO,65874
2014,CT,75842
2014,DE,62179
2014,FL,49876
2014,GA,53567
2014,HI,76990
2014,IA,62491
2014,ID,57765
2014,IL,59362
2014,IN,51951
2014,KS,57771
2014,KY,46250
2014,LA,45839
2014,MA,68264
2014,MD,82332
2014,ME,55897
2014,MI,56216
2014,MN,72688
2014,MO,61215
2014,MS,38397
2014,MT,55239
2014,NC,50572
2014,ND,65647
2014,NE,61474
2014,NH,79340
2014,NJ,70525
2014,NM,50466
2014,NV,53913
2014,NY,58707
2014,OH,53663
2014,OK,51020
2014,OR,63642
2014,PA,59640
2014,RI,63380
2014,SC,48567
2014,SD,57348
2014,TN,47255
2014,TX,58237
2014,UT,68515
2014,VA,71511
2014,VT,65623
2014,WA,63850
2014,WI,62782
2014,WV,42754
2014,WY,60199
2015,AK,81054
2015,AL,48030
2015,AR,46184
2015,AZ,56381
2015,CA,68670
2015,CO,71864
2015,CT,78655
2015,DE,62325
2015,FL,52687
2015,GA,54784
2015,HI,69617
2015,IA,65669
2015,ID,55708
2015,IL,65192
2015,IN,56095
2015,KS,59205
2015,KY,45740
2015,LA,49555
2015,MA,73229
2015,MD,79416
2015,ME,54771
2015,MI,58491
2015,MN,74167
2015,MO,63879
2015,MS,43204
2015,MT,55461
2015,NC,54815
2015,ND,61957
2015,NE,65258
2015,NH,81661
2015,NJ,73764
2015,NM,48688
2015,NV,56122
2015,NY,62594
2015,OH,57517
2015,OK,50801
2015,OR,65646
2015,PA,65166
2015,RI,60107
2015,SC,50027
2015,SD,59421
2015,TN,51074
2015,TX,60940
2015,UT,71499
2015,VA,66350
2015,VT,64200
2015,WA,72562
2015,WI,59809
2015,WV,46212
2015,WY,65745
2016,AK,80673
2016,AL,50308
2016,AR,48908
2016,AZ,60832
2016,CA,70993
2016,CO,75179
2016,CT,80886
2016,DE,61840
2016,FL,54521
2016,GA,57026
2016,HI,76848
2016,IA,62957
2016,ID,60261
2016,IL,65398
2016,IN,59761
2016,KS,60523
2016,KY,48335
2016,LA,44954
2016,MA,76990
2016,MD,78581
2016,ME,54180
2016,MI,60823
2016,MN,74808
2016,MO,58612
2016,MS,43785
2016,MT,60806
2016,NC,57278
2016,ND,64118
2016,NE,63255
2016,NH,81245
2016,NJ,72943
2016,NM,51618
2016,NV,59054
2016,NY,65453
2016,OH,57514
2016,OK,54273
2016,OR,63000
2016,PA,64965
2016,RI,65550
2016,SC,57888
2016,SD,61205
2016,TN,54700
2016,TX,61947
2016,UT,71892
2016,VA,70795
2016,VT,64814
2016,WA,74906
2016,WI,63727
2016,WV,47253
2016,WY,61609
2017,AK,81335
2017,AL,53049
2017,AR,51887
2017,AZ,62263
2017,CA,73045
2017,CO,78204
2017,CT,77494
2017,DE,67750
2017,FL,55365
2017,GA,60475
2017,HI,76759
2017,IA,66192
2017,ID,62052
2017,IL,68801
2017,IN,61290
2017,KS,59343
2017,KY,51805
2017,LA,45436
2017,MA,79517
2017,MD,85618
2017,ME,55605
2017,MI,58827
2017,MN,72979
2017,MO,58957
2017,MS,45139
2017,MT,59872
2017,NC,51674
2017,ND,62750
2017,NE,62141
2017,NH,78877
2017,NJ,74299
2017,NM,47559
2017,NV,60533
2017,NY,64185
2017,OH,63294
2017,OK,54110
2017,OR,65181
2017,PA,63916
2017,RI,68209
2017,SC,56879
2017,SD,59358
2017,TN,57681
2017,TX,62672
2017,UT,72785
2017,VA,73851
2017,VT,66416
2017,WA,74612
2017,WI,66208
2017,WV,48973
2017,WY,62092
2018,AK,69979
2018,AL,50841
2018,AR,50683
2018,AZ,63411
2018,CA,71766
2018,CO,74357
2018,CT,74131
2018,DE,66190
2018,FL,55634
2018,GA,56832
2018,HI,81559
2018,IA,69963
2018,ID,59792
2018,IL,71416
2018,IN,60977
2018,KS,65096
2018,KY,55543
2018,LA,50878
2018,MA,87909
2018,MD,87785
2018,ME,59726
2018,MI,61544
2018,MN,73118
2018,MO,62844
2018,MS,43556
2018,MT,58724
2018,NC,54336
2018,ND,67710
2018,NE,68799
2018,NH,82820
2018,NJ,75520
2018,NM,49158
2018,NV,62985
2018,NY,68493
2018,OH,62750
2018,OK,55420
2018,OR,70418
2018,PA,65693
2018,RI,63394
2018,SC,58485
2018,SD,60540
2018,TN,57076
2018,TX,60868
2018,UT,78463
2018,VA,78549
2018,VT,71335
2018,WA,81170
2018,WI,63764
2018,WV,51489
2018,WY,63672
2019,AK,78394
2019,AL,56200
2019,AR,54539
2019,AZ,70674
2019,CA,78105
2019,CO,72499
2019,CT,87291
2019,DE,74194
2019,FL,58368
2019,GA,56628
2019,HI,88006
2019,IA,66054
2019,ID,65988
2019,IL,74399
2019,IN,66693
2019,KS,73151
2019,KY,55662
2019,LA,51707
2019,MA,87707
2019,MD,95572
2019,ME,66546
2019,MI,64119
2019,MN,81426
2019,MO,60597
2019,MS,44787
2019,MT,60195
2019,NC,61159
2019,ND,70031
2019,NE,73071
2019,NH,86900
2019,NJ,87726
2019,NM,53113
2019,NV,70906
2019,NY,71855
2019,OH,64663
2019,OK,59397
2019,OR,74413
2019,PA,70582
2019,RI,70151
2019,SC,62028
2019,SD,64255
2019,TN,56627
2019,TX,67444
2019,UT,84523
2019,VA,81313
2019,VT,74305
2019,WA,82454
2019,WI,67355
2019,WV,53706
2019,WY,65134
