Year,State,Total_SqMi
2004,NJ,"8,723"
2004,NM,"121,590"
2004,NV,"110,572"
2004,NY,"54,555"
2004,OH,"44,826"
2004,OK,"69,899"
2004,OR,"98,379"
2004,PA,"46,054"
2004,RI,"1,545"
2004,SC,"32,020"
2004,SD,"77,116"
2004,TN,"42,144"
2004,TX,"268,596"
2004,UT,"84,897"
2004,VA,"42,775"
2004,VT,"9,616"
2004,WA,"71,298"
2004,WI,"65,496"
2004,WV,"24,230"
2004,WY,"97,813"
2005,AK,"665,384"
2005,AL,"52,420"
2005,AR,"53,179"
2005,AZ,"113,990"
2005,CA,"163,695"
2005,CO,"104,094"
2005,CT,"5,543"
2005,DE,"2,489"
2005,FL,"65,758"
2005,GA,"59,425"
2005,HI,"10,932"
2005,IA,"56,273"
2005,ID,"83,569"
2005,IL,"57,914"
2005,IN,"36,420"
2005,KS,"82,278"
2005,KY,"40,408"
2005,LA,"52,378"
2005,MA,"10,554"
2005,MD,"12,406"
2005,ME,"35,380"
2005,MI,"96,714"
2005,MN,"86,936"
2005,MO,"69,707"
2005,MS,"48,432"
2005,MT,"147,040"
2005,NC,"53,819"
2005,ND,"70,698"
2005,NE,"77,348"
2005,NH,"9,349"
2005,NJ,"8,723"
2005,NM,"121,590"
2005,NV,"110,572"
2005,NY,"54,555"
2005,OH,"44,826"
2005,OK,"69,899"
2005,OR,"98,379"
2005,PA,"46,054"
2005,RI,"1,545"
2005,SC,"32,020"
2005,SD,"77,116"
2005,TN,"42,144"
2005,TX,"268,596"
2005,UT,"84,897"
2005,VA,"42,775"
2005,VT,"9,616"
2005,WA,"71,298"
2005,WI,"65,496"
2005,WV,"24,230"
2005,WY,"97,813"
2006,AK,"665,384"
2006,AL,"52,420"
2006,AR,"53,179"
2006,AZ,"113,990"
2006,CA,"163,695"
2006,CO,"104,094"
2006,CT,"5,543"
2006,DE,"2,489"
2006,FL,"65,758"
2006,GA,"59,425"
2006,HI,"10,932"
2006,IA,"56,273"
2006,ID,"83,569"
2006,IL,"57,914"
2006,IN,"36,420"
2006,KS,"82,278"
2006,KY,"40,408"
2006,LA,"52,378"
2006,MA,"10,554"
2006,MD,"12,406"
2006,ME,"35,380"
2006,MI,"96,714"
