Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2003,WA,2461379.0,1199437.0,1197208.0
2003,WI,2540083.0,1563238.0,940744.0
2003,WV,436183.0,275281.0,160902.0
2003,WY,183280.0,49570.0,133710.0
2004,AK,308315.0,140424.0,149773.0
2004,AL,1839066.0,595018.0,1242200.0
2004,AR,1039349.0,580973.0,458036.0
2004,AZ,1961677.0,404507.0,1505372.0
2004,CA,12053295.0,6955728.0,4555922.0
2004,CO,2107472.0,1081188.0,980668.0
2004,CT,1424726.0,945347.0,457749.0
2004,DE,232314.0,135253.0,94793.0
2004,FL,7429894.0,3590201.0,3672864.0
2004,GA,3220981.0,1287690.0,1864202.0
2004,HI,415347.0,313629.0,87172.0
2004,IA,1479228.0,412365.0,1038175.0
2004,ID,503932.0,132975.0,499796.0
2004,IL,5141520.0,3597456.0,1390690.0
2004,IN,2428233.0,1496976.0,903913.0
2004,KS,1129022.0,310337.0,780863.0
2004,KY,1724362.0,850855.0,873507.0
2004,LA,1848056.0,877482.0,943014.0
2004,MA,2220301.0,1605976.0,334341.0
2004,MD,2321931.0,1504691.0,783055.0
2004,ME,504899.0,209858.0,295041.0
2004,MI,3129287.0,1896614.0,1185545.0
2004,MN,2254636.0,1078627.0,1116697.0
2004,MO,2706402.0,1158261.0,1518089.0
2004,MS,630495.0,314090.0,533269.0
2004,MT,326537.0,204853.0,103611.0
2004,NC,3472082.0,1632527.0,1791450.0
2004,ND,310696.0,212143.0,98553.0
2004,NE,480217.0,70290.0,397438.0
2004,NH,657086.0,221549.0,434847.0
2004,NJ,2112604.0,1138193.0,928439.0
2004,NM,483056.0,168863.0,314193.0
2004,NV,810068.0,494805.0,284640.0
2004,NY,7447818.0,4384907.0,1625069.0
2004,OH,5425823.0,1961171.0,3464356.0
2004,OK,1446846.0,596750.0,763433.0
2004,OR,1780550.0,1128728.0,565254.0
2004,PA,5559105.0,2334126.0,2925080.0
2004,RI,323582.0,253774.0,69808.0
2004,SC,1597221.0,704384.0,857167.0
2004,SD,391188.0,193340.0,197848.0
2004,TN,1642432.0,728232.0,891498.0
2004,TX,4514012.0,1955758.0,2496243.0
2004,UT,911726.0,258955.0,626640.0
2004,VA,1489422.0,1296093.0,1229894.0
2004,VT,307208.0,216972.0,75398.0
2004,WA,2818651.0,1549708.0,1204584.0
