Year,State,Total_Pres_Votes,Dem_Pres_Votes,Rep_Pres_Votes
2007,HI,429013.0,231708.0,194191.0
2007,IA,1506908.0,741898.0,751957.0
2007,ID,598376.0,181098.0,409235.0
2007,IL,5274322.0,2891550.0,2345946.0
2007,IN,2468002.0,969011.0,1479438.0
2007,KS,1187756.0,434993.0,736456.0
2007,KY,1795882.0,712733.0,1069439.0
2007,LA,1943106.0,820299.0,1102169.0
2007,MA,2927455.0,1803800.0,1071109.0
2007,MD,2384238.0,1334500.0,1024703.0
2007,ME,740752.0,396842.0,330201.0
2007,MI,4839252.0,2479183.0,2313746.0
2007,MN,2828387.0,1445014.0,1346695.0
2007,MO,2731364.0,1259171.0,1455713.0
2007,MS,1139824.0,457766.0,672660.0
2007,MT,450434.0,173710.0,266063.0
2007,NC,3501007.0,1525849.0,1961166.0
2007,ND,312833.0,111052.0,196651.0
2007,NE,778186.0,254328.0,512814.0
2007,NH,678287.0,340511.0,331237.0
2007,NJ,3611691.0,1911430.0,1670003.0
2007,NM,756304.0,370942.0,376930.0
2007,NV,829587.0,397190.0,418690.0
2007,NY,7448266.0,4180755.0,2806993.0
2007,OH,5627903.0,2741165.0,2859764.0
2007,OK,1463758.0,503966.0,959792.0
2007,OR,1836782.0,943163.0,866831.0
2007,PA,5769590.0,2938095.0,2793847.0
2007,RI,437134.0,259760.0,169046.0
2007,SC,1617700.0,661669.0,937974.0
2007,SD,388215.0,149244.0,232584.0
2007,TN,2437319.0,1036477.0,1384375.0
2007,TX,7410749.0,2832704.0,4526917.0
2007,UT,927844.0,241199.0,663742.0
2007,VA,3195415.0,1454742.0,1716959.0
2007,VT,312309.0,184067.0,121180.0
2007,WA,2859084.0,1510201.0,1304894.0
2007,WI,2997007.0,1489504.0,1478120.0
2007,WV,755792.0,326541.0,423778.0
2007,WY,243861.0,70776.0,167629.0
2008,AK,326197.0,123594.0,193841.0
2008,AL,2099819.0,813479.0,1266546.0
2008,AR,1086617.0,422310.0,638017.0
2008,AZ,2293475.0,1034707.0,1230111.0
2008,CA,13561900.0,8274473.0,5011781.0
2008,CO,2401361.0,1288576.0,1073589.0
2008,CT,1646792.0,997772.0,629428.0
2008,DE,412412.0,255459.0,152374.0
2008,FL,8390744.0,4282074.0,4045624.0
2008,GA,3924486.0,1844123.0,2048759.0
2008,HI,456064.0,325871.0,120566.0
2008,IA,1537123.0,828940.0,682379.0
2008,ID,655122.0,236440.0,403012.0
2008,IL,5522371.0,3419348.0,2031179.0
2008,IN,2751054.0,1374039.0,1345648.0
2008,KS,1235872.0,514765.0,699655.0
2008,KY,1826620.0,751985.0,1048462.0
2008,LA,1960761.0,782989.0,1148275.0
2008,MA,3102995.0,1904097.0,1108854.0
2008,MD,2631596.0,1629467.0,959862.0
2008,ME,731163.0,421923.0,295273.0
2008,MI,5001596.0,2872579.0,2048639.0
2008,MN,2910369.0,1573354.0,1275409.0
2008,MO,2925205.0,1441911.0,1445814.0
2008,MS,1289865.0,554662.0,724597.0
2008,MT,490109.0,231667.0,242763.0
2008,NC,4310851.0,2142651.0,2128474.0
2008,ND,316621.0,141278.0,168601.0
2008,NE,801281.0,333319.0,452979.0
2008,NH,710970.0,384826.0,316534.0
2008,NJ,3868237.0,2215422.0,1613207.0
2008,NM,830158.0,472422.0,346832.0
2008,NV,967848.0,533736.0,412827.0
2008,NY,7722019.0,4645332.0,2418323.0
2008,OH,5708350.0,2940044.0,2677820.0
2008,OK,1462661.0,502496.0,960165.0
2008,OR,1827864.0,1037291.0,738475.0
2008,PA,6013272.0,3276363.0,2655885.0
2008,RI,471766.0,296571.0,165391.0
2008,SC,1920969.0,862449.0,1034896.0
2008,SD,381975.0,170924.0,203054.0
2008,TN,2599749.0,1087437.0,1479178.0
2008,TX,8077795.0,3528633.0,4479328.0
2008,UT,952370.0,327670.0,596030.0
2008,VA,3723260.0,1959532.0,1725005.0
2008,VT,325046.0,219262.0,98974.0
2008,WA,3036878.0,1750848.0,1229216.0
2008,WI,2983417.0,1677211.0,1262393.0
2008,WV,713451.0,303857.0,397466.0
2008,WY,254904.0,82868.0,164958.0
2009,AK,326197.0,123594.0,193841.0
2009,AL,2099819.0,813479.0,1266546.0
2009,AR,1086617.0,422310.0,638017.0
2009,AZ,2293475.0,1034707.0,1230111.0
2009,CA,13561900.0,8274473.0,5011781.0
2009,CO,2401361.0,1288576.0,1073589.0
2009,CT,1646792.0,997772.0,629428.0
2009,DE,412412.0,255459.0,152374.0
2009,FL,8390744.0,4282074.0,4045624.0
2009,GA,3924486.0,1844123.0,2048759.0
2009,HI,456064.0,325871.0,120566.0
2009,IA,1537123.0,828940.0,682379.0
2009,ID,655122.0,236440.0,403012.0
2009,IL,5522371.0,3419348.0,2031179.0
2009,IN,2751054.0,1374039.0,1345648.0
2009,KS,1235872.0,514765.0,699655.0
2009,KY,1826620.0,751985.0,1048462.0
2009,LA,1960761.0,782989.0,1148275.0
2009,MA,3102995.0,1904097.0,1108854.0
2009,MD,2631596.0,1629467.0,959862.0
2009,ME,731163.0,421923.0,295273.0
2009,MI,5001596.0,2872579.0,2048639.0
2009,MN,2910369.0,1573354.0,1275409.0
2009,MO,2925205.0,1441911.0,1445814.0
2009,MS,1289865.0,554662.0,724597.0
2009,MT,490109.0,231667.0,242763.0
2009,NC,4310851.0,2142651.0,2128474.0
2009,ND,316621.0,141278.0,168601.0
2009,NE,801281.0,333319.0,452979.0
2009,NH,710970.0,384826.0,316534.0
2009,NJ,3868237.0,2215422.0,1613207.0
2009,NM,830158.0,472422.0,346832.0
2009,NV,967848.0,533736.0,412827.0
2009,NY,7722019.0,4645332.0,2418323.0
