YEAR,STATE,Non-Renewable,Renewable,Total
2006,NH,19788405.0,2275290.0,22063695.0
2006,NJ,59747918.0,952219.0,60700139.0
2006,NM,35790093.0,1475532.0,37265625.0
2006,NV,28458685.0,3401337.0,31860022.0
2006,NY,112324136.0,29941296.0,142265432.0
2006,OH,154343524.0,1090551.0,155434075.0
2006,OK,67981578.0,2633303.0,70614880.0
2006,OR,13661410.0,39679286.0,53340695.0
2006,PA,213494507.0,5317088.0,218811595.0
2006,RI,5812903.0,154822.0,5967725.0
2006,SC,95550221.0,3717385.0,99267606.0
2006,SD,3586445.0,3545798.0,7132243.0
2006,TN,85351853.0,8559250.0,93911102.0
2006,TX,392102646.0,8480231.0,400582878.0
2006,UT,40311064.0,952259.0,41263324.0
2006,VA,69259894.0,3809645.0,73069537.0
2006,VT,5115769.0,1968575.0,7084344.0
2006,WA,23692673.0,84510483.0,108203155.0
2006,WI,58695623.0,2944221.0,61639843.0
2006,WV,92069319.0,1746486.0,93815804.0
2006,WY,43797993.0,1602377.0,45400370.0
2007,AK,5518938.0,1302453.0,6821392.0
2007,AL,135889536.0,7936734.0,143826271.0
2007,AR,49735739.0,4860497.0,54596236.0
2007,AZ,106701661.0,6639310.0,113340970.0
2007,CA,158674572.0,52173008.0,210847581.0
2007,CO,50853130.0,3054362.0,53907492.0
2007,CT,32078110.0,1093101.0,33171209.0
2007,DE,8486047.0,48116.0,8534163.0
2007,FL,220958796.0,4457263.0,225416060.0
2007,GA,139503548.0,5651609.0,145155158.0
2007,HI,10687659.0,845690.0,11533350.0
2007,IA,45919096.0,3870122.0,49789217.0
2007,ID,1809552.0,9674539.0,11484091.0
2007,IL,198822202.0,1438479.0,200260681.0
2007,IN,129956815.0,681183.0,130637999.0
2007,KS,48959157.0,1163039.0,50122196.0
2007,KY,95091109.0,2134210.0,97225319.0
2007,LA,88771804.0,3806525.0,92578329.0
2007,MA,45038269.0,2037706.0,47075975.0
2007,MD,47942246.0,2255677.0,50197924.0
2007,ME,8183420.0,7945148.0,16128567.0
2007,MI,115623200.0,3686736.0,119309936.0
2007,MN,49891188.0,4586460.0,54477646.0
2007,MO,89919447.0,1233635.0,91153081.0
2007,MS,48550321.0,1493365.0,50043686.0
2007,MT,18960437.0,9971057.0,28931493.0
2007,NC,125458923.0,4656378.0,130115301.0
2007,ND,29284433.0,1939672.0,31224105.0
2007,NE,31817230.0,625468.0,32442699.0
2007,NH,20888670.0,2388501.0,23277171.0
2007,NJ,61806758.0,864487.0,62671245.0
2007,NM,34308122.0,1677211.0,35985333.0
2007,NV,29369887.0,3299849.0,32669736.0
2007,NY,117851048.0,28027638.0,145878687.0
2007,OH,154309966.0,845579.0,155155545.0
2007,OK,67624235.0,5194860.0,72819095.0
2007,OR,19262062.0,35815731.0,55077794.0
2007,PA,221306163.0,4782178.0,226088340.0
2007,RI,6890723.0,159121.0,7049844.0
2007,SC,99850196.0,3551946.0,103402142.0
2007,SD,3069304.0,3067301.0,6136605.0
2007,TN,89203281.0,5910128.0,95113409.0
